IntervalEnding,Coast,East,FarWest,North,NorthCentral,SouthCentral,Southern,West
8/11/2021 5:15,13515.56836,1659.699097,3980.239258,1270.569092,13878.47363,6857.975586,3298.513184,1317.395142
8/11/2021 5:20,13539.94531,1665.408325,3979.933838,1271.040527,13905.17188,6874.680176,3303.318359,1313.269897
8/11/2021 5:25,13566.00586,1671.671143,3979.323242,1271.709961,13934.43555,6892.772461,3308.600586,1309.185303
8/11/2021 5:30,13593.75,1678.487427,3978.407715,1272.577637,13966.26367,6912.25293,3314.359619,1305.141602
8/11/2021 5:35,13623.17676,1685.8573,3977.187012,1273.643555,14000.65723,6933.121094,3320.595703,1301.138794
8/11/2021 5:40,13633.50781,1682.350708,3997.731934,1287.12146,13892.99414,6770.691895,3312.118408,1306.780029
8/11/2021 5:45,13687.07813,1702.257446,3973.830566,1276.369751,14077.13965,6979.021484,3334.498779,1293.255249
8/11/2021 5:50,13721.55371,1711.28772,3971.69458,1278.030029,14119.22852,7004.053711,3342.165527,1289.374756
8/11/2021 5:55,13757.71289,1720.871582,3969.253662,1279.888672,14163.88281,7030.473633,3350.309326,1285.535034
8/11/2021 6:00,13738.18164,1712.807373,3997.285156,1296.838501,14038.67383,6759.512207,3340.88501,1296.952515
8/11/2021 6:05,13718.98926,1731.220459,4020.400635,1280.784668,14063.88086,7115.339844,3336.570801,1329.039917
8/11/2021 6:10,13781.60547,1727.025391,3998.174072,1302.220947,14108.87305,6754.237793,3355.532471,1290.151001
8/11/2021 6:15,13801.08887,1733.881836,3998.896729,1305.043091,14143.31348,6751.679688,3362.922119,1286.278198
8/11/2021 6:20,13819.08691,1740.569824,3999.804688,1307.952515,14177.31348,6749.173828,3370.355957,1282.09082
8/11/2021 6:25,13835.59863,1747.089355,4000.897949,1310.949341,14210.87305,6746.720703,3377.83374,1277.588867
8/11/2021 6:30,13762.55566,1759.946289,4016.981201,1293.146851,14231.43359,7268.858887,3298.37207,1297.662964
8/11/2021 6:35,13864.16699,1759.623413,4003.640869,1317.204712,14276.67285,6741.972168,3392.921143,1267.640991
8/11/2021 6:40,13876.22266,1765.637817,4005.290283,1320.463501,14308.91211,6739.676758,3400.531006,1262.19519
8/11/2021 6:45,13886.79297,1771.483887,4007.125244,1323.809448,14340.71191,6737.434082,3408.184814,1256.43457
8/11/2021 6:50,13895.87793,1777.161499,4009.145508,1327.242798,14372.07129,6735.243652,3415.882568,1250.359497
8/11/2021 6:55,13849.49316,1787.269409,4010.881104,1307.634766,14399.43848,7396.876465,3282.097168,1278.106201
8/11/2021 7:00,13872.08496,1792.565674,4009.339355,1310.787476,14433.09375,7419.419922,3281.4729,1275.613281
8/11/2021 7:05,13896.41113,1797.805908,4007.69043,1314.025146,14466.76758,7440.942871,3281.72583,1273.593262
8/11/2021 7:10,13966.78809,1807.638306,4038.34375,1293.11084,14429.89453,7482.339844,3487.830566,1398.407227
8/11/2021 7:15,13950.26953,1808.11792,4004.071045,1320.755493,14534.16895,7480.929688,3284.862061,1270.971558
8/11/2021 7:20,14020.7207,1813.972412,4042.023682,1297.340942,14463.08105,7511.913086,3497.195557,1400.120972
8/11/2021 7:25,14054.78125,1818.018433,4043.960693,1300.185669,14486.61523,7526.661621,3503.265381,1401.687988
8/11/2021 7:30,14093.57031,1822.650513,4045.962646,1303.516968,14514.77441,7541.384277,3510.26001,1403.728516
8/11/2021 7:35,14137.08887,1827.86853,4048.029297,1307.334595,14547.56152,7556.081055,3518.179688,1406.242554
8/11/2021 7:40,14115.27344,1832.916138,3993.145996,1339.06958,14702.99023,7563.044922,3308.049805,1272.691406
8/11/2021 7:45,14238.31348,1840.062622,4052.356934,1316.429443,14627.01367,7585.397949,3536.793701,1412.691162
8/11/2021 7:50,14193.41895,1842.442627,3988.025391,1346.990356,14770.64551,7588.750488,3323.463379,1276.688965
8/11/2021 7:55,14235.09473,1847.121826,3985.304443,1351.078247,14804.5,7600.073242,3332.485596,1279.396973
8/11/2021 8:00,14278.50391,1851.744751,3982.476074,1355.251221,14838.37305,7610.375977,3342.38501,1282.577881
8/11/2021 8:05,14493.85645,1836.612061,4023.865479,1328.13147,14871.93945,7532.743164,3558.288818,1388.334961
8/11/2021 8:10,14590.11426,1845.433472,4022.62915,1338.036499,14957.3584,7548.580078,3576.011719,1392.895996
8/11/2021 8:15,14655.48242,1890.708374,4066.894287,1355.38916,14976.4082,7672.731934,3614.834473,1443.400635
8/11/2021 8:20,14741.56152,1901.200317,4069.543945,1363.585083,15050.83301,7687.197266,3631.078369,1450.176147
8/11/2021 8:25,14832.37109,1912.278198,4072.258301,1372.267456,15129.88477,7701.637695,3648.247314,1457.425049
8/11/2021 8:30,14974.59863,1883.662231,4024.967773,1377.588989,15300.88965,7611.044922,3649.05835,1414.331177
8/11/2021 8:35,15028.17578,1936.192017,4077.881348,1391.091675,15301.86816,7730.440918,3685.360107,1473.343506
8/11/2021 8:40,15133.17188,1949.027954,4080.790039,1401.233521,15394.79883,7744.803711,3705.303711,1482.012939
8/11/2021 8:45,15262.38965,1915.423828,4034.370117,1407.182739,15560.48828,7656.964844,3706.105469,1433.758057
8/11/2021 8:50,15357.35059,1976.457642,4086.801758,1422.976563,15594.54102,7773.453125,3747.966064,1500.772217
8/11/2021 8:55,15453.97852,1938.06958,4044.280273,1426.878418,15734.48242,7687.135742,3745.213867,1448.30481
8/11/2021 9:00,15549.69141,1949.833984,4050.327881,1436.716064,15821.75879,7702.088867,3765.091553,1456.056763
8/11/2021 9:05,15645.34961,1961.892578,4057.104004,1446.547119,15909.21973,7716.953613,3785.184326,1464.12793
8/11/2021 9:10,15721.53613,2009.103882,4110.969727,1456.580811,16118.75098,7927.233398,3891.420898,1442.878174
8/11/2021 9:15,15816.58301,2021.369751,4123.852539,1467.344238,16208.16211,7944.95752,3912.970947,1450.741211
8/11/2021 9:20,15911.88965,2033.779419,4136.338379,1477.88855,16298.67188,7962.157227,3934.781982,1458.658447
8/11/2021 9:25,16007.45508,2046.332886,4148.427246,1488.213623,16390.28125,7978.832031,3956.85376,1466.630005
8/11/2021 9:30,16103.28027,2059.030029,4160.119141,1498.31958,16482.98828,7994.981934,3979.186523,1474.65564
8/11/2021 9:35,16199.36426,2071.87085,4171.414063,1508.206177,16576.79492,8010.606934,4001.780273,1482.735352
8/11/2021 9:40,16313.43164,2054.542725,4124.932129,1515.175781,16526.65039,7818.529297,3931.867188,1529.560425
8/11/2021 9:45,16408.6543,2068.955566,4137.535645,1524.953003,16615.59766,7832.686523,3953.683838,1540.184204
8/11/2021 9:50,16503.82227,2083.662842,4150.867188,1534.723511,16704.73047,7846.755371,3975.71582,1551.127197
8/11/2021 9:55,16598.93555,2098.664063,4164.927734,1544.487305,16794.04883,7860.735352,3997.963135,1562.389282
8/11/2021 10:00,16683.67383,2138.230713,4221.933105,1554.351807,17062.30469,8080.862305,4118.661133,1523.947144
8/11/2021 10:05,16781.3125,2151.933838,4230.845703,1562.92334,17162.70313,8093.339355,4142.819824,1532.351929
8/11/2021 10:10,16890.54297,2188.923584,4238.713867,1555.282959,17475.27734,8588.760742,4292.838867,1526.972412
8/11/2021 10:15,16977.36914,2179.77124,4247.47998,1579.408813,17366.79688,8116.71875,4191.919922,1549.324219
8/11/2021 10:20,17100.28711,2218.253906,4251.074707,1577.778809,17701.77734,8700.392578,4351.29248,1548.42334
8/11/2021 10:25,17202.82031,2232.890137,4257.52002,1588.705322,17814.17578,8755.888672,4380.092773,1559.550171
8/11/2021 10:30,17273.39844,2222.605225,4269.454102,1602.493042,17681.17578,8147.852051,4267.526367,1575.188965
8/11/2021 10:35,17372.59375,2237.170654,4275.984375,1609.749512,17788.16602,8157.180664,4293.250488,1583.918945
8/11/2021 10:40,17472.04883,2251.879883,4282.118164,1616.786621,17896.25586,8165.984375,4319.235352,1592.703003
8/11/2021 10:45,17571.76172,2266.73291,4287.85498,1623.604614,18005.44336,8174.263184,4345.480957,1601.541382
8/11/2021 10:50,17671.73438,2281.729492,4293.194336,1630.203369,18115.73047,8182.017578,4371.987305,1610.433838
8/11/2021 10:55,17771.9668,2296.869873,4298.136719,1636.583008,18227.11523,8189.24707,4398.754395,1619.380493
8/11/2021 11:00,17876.9082,2334.807129,4307.578613,1659.192993,18585.11328,9138.386719,4573.743164,1644.931519
8/11/2021 11:05,17966.9707,2349.290039,4315.436035,1668.405762,18692.98242,9192.175781,4600.270996,1658.199219
8/11/2021 11:10,18055.47461,2363.753662,4323.469727,1677.404297,18800.2832,9245.750977,4626.514648,1671.734619
8/11/2021 11:15,18168.22852,2374.209229,4308.268066,1647.887451,18940.24414,9318.875977,4677.202637,1584.979126
8/11/2021 11:20,18227.80469,2392.623047,4340.067383,1694.758667,19013.1875,9352.262695,4678.150391,1699.608154
8/11/2021 11:25,18311.63281,2407.029053,4348.630371,1703.114502,19118.79102,9405.198242,4703.541992,1713.946411
8/11/2021 11:30,18420.27148,2413.158691,4342.806641,1667.047363,19255.51367,9477.235352,4754.010254,1601.458984
8/11/2021 11:35,18474.60938,2435.783691,4366.287109,1719.183594,19328.29688,9510.429688,4753.473145,1743.425659
8/11/2021 11:40,18581.66992,2437.95459,4365.730469,1680.458374,19466.16602,9581.46582,4803.897461,1614.139648
8/11/2021 11:45,18660.37891,2450.001465,4377.161621,1687.355103,19571.63477,9633.178711,4828.445313,1620.988281
8/11/2021 11:50,18737.76367,2461.814209,4388.572266,1694.379517,19677.19727,9684.624023,4852.72998,1628.175781
8/11/2021 11:55,18781.85938,2493.062256,4403.717773,1748.750977,19740.50977,9718.333008,4849.925781,1805.595459
8/11/2021 12:00,18854.77344,2507.33374,4413.516602,1755.6073,19842.14844,9769.775391,4873.329102,1821.807007
8/11/2021 12:05,18961.96289,2495.8479,4422.681641,1716.217651,19994.44727,9837.34668,4924.002441,1651.771118
8/11/2021 12:10,19034.04492,2506.724365,4434.010254,1723.752197,20100.38672,9887.717773,4947.23291,1660.313965
8/11/2021 12:15,19104.80078,2517.366699,4445.318848,1731.414185,20206.41992,9937.820313,4970.199707,1669.195557
8/11/2021 12:20,19243.90234,2601.369141,4374.249512,1751.022827,20340.56445,10045.7168,5026.388672,1735.059448
8/11/2021 12:25,19242.33398,2537.949219,4467.874023,1747.120728,20418.76953,10037.2207,5015.342285,1687.975464
8/11/2021 12:30,19309.11328,2547.889404,4479.121094,1755.165405,20525.08594,10086.51855,5037.518555,1697.873535
8/11/2021 12:35,19446.96094,2639.165283,4403.538574,1775.937988,20658.71289,10193.14844,5087.616699,1763.009155
8/11/2021 12:40,19438.69141,2567.067383,4501.553711,1771.637207,20738,10184.30762,5081.080078,1718.686401
8/11/2021 12:45,19501.49219,2576.30542,4512.739258,1780.064453,20844.59961,10232.80078,5102.465332,1729.601074
8/11/2021 12:50,19562.9668,2585.309082,4523.904297,1788.619141,20951.29297,10281.02441,5123.586914,1740.854614
8/11/2021 12:55,19703.29492,2687.762451,4435.408691,1809.061646,21065.51172,10376.1582,5167.07373,1796.711426
8/11/2021 13:00,19764.80469,2699.59082,4442.09375,1817.325195,21164.10547,10419.48828,5186.54834,1804.50061
8/11/2021 13:05,19825.28516,2711.290527,4448.265625,1825.581909,21261.45703,10461.84961,5205.867676,1812.035156
8/11/2021 13:10,19884.73633,2722.862061,4453.924316,1833.831787,21357.56445,10503.24121,5225.03125,1819.315063
8/11/2021 13:15,19943.1582,2734.304932,4459.070313,1842.074707,21452.43164,10543.66504,5244.039063,1826.340454
8/11/2021 13:20,20000.55078,2745.619629,4463.703125,1850.310669,21546.05469,10583.11914,5262.890625,1833.111328
8/11/2021 13:25,20056.91406,2756.805664,4467.823242,1858.539795,21638.43359,10621.60449,5281.586914,1839.627563
8/11/2021 13:30,20244.14648,2768.646973,4441.833496,1836.369751,21780.10938,10736.15137,5363.807617,1928.237061
8/11/2021 13:35,20166.55078,2778.792969,4474.523926,1874.977295,21819.4668,10695.66895,5318.512207,1851.89624
8/11/2021 13:40,20219.82617,2789.59375,4477.104492,1883.185669,21908.11914,10731.24805,5336.741211,1857.648804
8/11/2021 13:45,20272.07227,2800.266357,4479.172363,1891.387085,21995.5293,10765.85742,5354.814453,1863.146729
8/11/2021 13:50,20323.28711,2810.810547,4480.727539,1899.581665,22081.69727,10799.49805,5372.731934,1868.390015
8/11/2021 13:55,20373.47461,2821.226318,4481.769043,1907.769409,22166.62305,10832.16992,5390.493652,1873.378784
8/11/2021 14:00,20521.0332,2819.852783,4489.905762,1863.112305,22287.66016,10927.41895,5465.319336,1988.349609
8/11/2021 14:05,20555.23242,2825.809814,4497.499512,1867.389282,22364.75391,10954.61719,5479.474609,1996.750244
8/11/2021 14:10,20586.01758,2831.030518,4504.973145,1871.614868,22439.70703,10980.47656,5492.840332,2004.688599
8/11/2021 14:15,20613.39063,2835.514648,4512.327637,1875.78894,22512.51758,11004.99902,5505.416504,2012.164673
8/11/2021 14:20,20637.34961,2839.262451,4519.5625,1879.911621,22583.18555,11028.18457,5517.202637,2019.178467
8/11/2021 14:25,20407.00977,2715.933838,4438.98877,1908.836304,22722.38477,11125.24316,5554.744629,2015.888062
8/11/2021 14:30,20675.02539,2844.548828,4533.67334,1888.002563,22718.0957,11070.54297,5538.407227,2031.81897
8/11/2021 14:35,20688.74219,2846.087402,4540.549316,1891.970947,22782.33789,11089.7168,5547.824707,2037.445801
8/11/2021 14:40,20699.04492,2846.889648,4547.305664,1895.887817,22844.4375,11107.55273,5556.453125,2042.610352
8/11/2021 14:45,20439.78711,2727.482178,4461.562012,1925.147217,22975.34766,11194.75098,5598.756836,2039.73999
8/11/2021 14:50,20709.41211,2846.284912,4560.459473,1903.567139,22962.21094,11139.21191,5571.34082,2051.55249
8/11/2021 14:55,20447.17383,2728.928711,4470.730469,1932.946411,23087.29297,11220.81055,5617.277344,2050.295654
8/11/2021 15:00,20706.12305,2842.734375,4573.135254,1911.040771,23071.41797,11165.52246,5583.069824,2058.645264
8/11/2021 15:05,20448.55859,2727.48999,4478.486328,1940.508179,23189.55078,11241.07324,5633.474609,2059.937988
8/11/2021 15:10,20447,2725.688721,4481.834473,1944.200073,23237.04492,11249.03125,5640.702148,2064.416504
8/11/2021 15:15,20443.94141,2723.16626,4484.830078,1947.83252,23282.11719,11255.54004,5647.348633,2068.666748
8/11/2021 15:20,20439.38281,2719.922363,4487.472168,1951.40564,23324.76758,11260.59961,5653.414063,2072.688477
8/11/2021 15:25,19902.94141,2807.629639,4311.439941,1980.681519,23323.73242,11512.17285,5647.757324,2077.393555
8/11/2021 15:30,20425.76563,2711.270996,4491.697754,1958.373657,23402.79883,11266.37305,5663.802734,2080.047119
8/11/2021 15:35,19890.83203,2797.289063,4313.383301,1987.401367,23397.12109,11518.10352,5650.152832,2085.330811
8/11/2021 15:40,20406.14453,2699.734619,4494.510742,1965.10437,23471.14063,11266.34863,5671.867676,2086.492188
8/11/2021 15:45,19874.54492,2787.77124,4315.617676,1993.021118,23461.23047,11525.78125,5651.299805,2092.556885
8/11/2021 15:50,19864.83398,2783.321289,4316.84375,1995.418457,23489.80273,11530.27539,5651.405273,2095.90332
8/11/2021 15:55,20365.46289,2677.020264,4496.08252,1974.755005,23555.48438,11255.44531,5679.609375,2094.447021
8/11/2021 16:00,20348.90234,2668.006348,4495.900391,1977.853149,23578.75391,11248.91309,5681.027832,2096.64209
8/11/2021 16:05,19829.42969,2771.205322,4320.958496,2000.960083,23561.60352,11546.37988,5649.849609,2104.875977
8/11/2021 16:10,19815.53906,2767.578125,4322.475586,2002.257202,23580.89648,11552.62109,5648.707031,2107.51123
8/11/2021 16:15,19800.60352,2764.156738,4324.064941,2003.279297,23597.87109,11559.2998,5647.251953,2109.968994
8/11/2021 16:20,19784.62305,2760.941162,4325.727539,2004.026367,23612.52344,11566.41504,5645.485352,2112.248779
8/11/2021 16:25,19767.59766,2757.931152,4327.462402,2004.498413,23624.85547,11573.9668,5643.40625,2114.35083
8/11/2021 16:30,19749.52734,2755.127197,4329.27002,2004.695313,23634.86719,11581.95605,5641.015625,2116.275146
8/11/2021 16:35,19730.41211,2752.528809,4331.150391,2004.61731,23642.56055,11590.38184,5638.3125,2118.021484
8/11/2021 16:40,19710.25195,2750.13623,4333.103516,2004.26416,23647.93164,11599.24414,5635.297363,2119.590332
8/11/2021 16:45,19689.04688,2747.949463,4335.129395,2003.635986,23650.98438,11608.54395,5631.970215,2120.981445
8/11/2021 16:50,19666.79688,2745.968506,4337.228027,2002.732788,23651.71484,11618.2793,5628.331055,2122.19458
8/11/2021 16:55,19643.50195,2744.193115,4339.399414,2001.554565,23650.12695,11628.45313,5624.379883,2123.22998
8/11/2021 17:00,19619.16211,2742.623535,4341.643066,2000.101318,23646.2168,11639.0625,5620.116699,2124.087891
8/11/2021 17:05,18657.17383,2725.052734,4403.049316,2024.720337,23859.17969,11983.25586,5691.390137,2098.63208
8/11/2021 17:10,18645.91016,2722.412842,4405.886719,2024.029663,23849.96875,12000.99902,5685.647461,2096.478271
8/11/2021 17:15,18633.2832,2719.899902,4408.653809,2023.241211,23838.00977,12018.88086,5679.377441,2093.799072
8/11/2021 17:20,18619.29297,2717.513916,4411.350586,2022.354736,23823.29883,12036.90137,5672.580566,2090.594482
8/11/2021 17:25,18603.93945,2715.254883,4413.977051,2021.370483,23805.83789,12055.05957,5665.256836,2086.864502
8/11/2021 17:30,18587.2207,2713.122559,4416.532715,2020.288452,23785.62695,12073.35645,5657.40625,2082.609131
8/11/2021 17:35,18569.13867,2711.117188,4419.018555,2019.108398,23762.66797,12091.79199,5649.028809,2077.828369
8/11/2021 17:40,18549.69141,2709.23877,4421.433594,2017.830566,23736.95703,12110.36523,5640.124512,2072.522461
8/11/2021 17:45,18528.88281,2707.487305,4423.777832,2016.454956,23708.49609,12129.07715,5630.692871,2066.690918
8/11/2021 17:50,18506.70898,2705.862549,4426.052246,2014.981323,23677.28516,12147.92773,5620.734863,2060.334229
8/11/2021 17:55,18483.16992,2704.36499,4428.256348,2013.409912,23643.32227,12166.91699,5610.25,2053.452148
8/11/2021 18:00,18458.26953,2702.994141,4430.389648,2011.740601,23606.61133,12186.04492,5599.237793,2046.044556
8/11/2021 18:05,17831.73242,2725.929443,4419.647949,1984.085693,23656.97852,12096.10254,5608.397949,1969.562988
8/11/2021 18:10,17784.15039,2730.068359,4422.522461,1979.213501,23611.59961,12087.84668,5599.496094,1967.78064
8/11/2021 18:15,17737.29492,2733.262939,4425.226563,1973.925659,23563.20508,12077.02832,5589.961426,1965.817505
8/11/2021 18:20,17691.16406,2735.513428,4427.760742,1968.222412,23511.79688,12063.64648,5579.79248,1963.673706
8/11/2021 18:25,17645.75977,2736.81958,4430.125,1962.103638,23457.375,12047.70313,5568.990234,1961.349243
8/11/2021 18:30,17601.08203,2737.181641,4432.318359,1955.569336,23399.93945,12029.19629,5557.554688,1958.843994
8/11/2021 18:35,17557.12695,2736.599365,4434.341797,1948.619629,23339.49023,12008.12598,5545.48584,1956.157959
8/11/2021 18:40,17513.90039,2735.072754,4436.195313,1941.254395,23276.02734,11984.49414,5532.782715,1953.29126
8/11/2021 18:45,17471.39844,2732.602051,4437.878418,1933.473511,23209.54883,11958.29883,5519.446777,1950.243774
8/11/2021 18:50,17429.62109,2729.187012,4439.391113,1925.277222,23140.05859,11929.54102,5505.477051,1947.015625
8/11/2021 18:55,17388.57031,2724.827881,4440.733887,1916.665527,23067.55273,11898.2207,5490.874023,1943.606689
8/11/2021 19:00,17348.24609,2719.524414,4441.90625,1907.638184,22992.0332,11864.33691,5475.637207,1940.01709
8/11/2021 19:05,17620.92383,2638.139893,4440.254883,1850.70752,22857.60938,11822.36914,5413.324219,1933.42041
8/11/2021 19:10,17269.77148,2706.084717,4443.740234,1888.337158,22831.95508,11788.88281,5443.263184,1932.295532
8/11/2021 19:15,17231.625,2697.948486,4444.401855,1878.063354,22747.39453,11747.31055,5426.125977,1928.163696
8/11/2021 19:20,17194.20117,2688.868164,4444.893555,1867.374023,22659.82031,11703.17676,5408.35498,1923.851196
8/11/2021 19:25,17375.58789,2597.922852,4445.904297,1803.595215,22461.81641,11606.45215,5335.148438,1911.230957
8/11/2021 19:30,17316.12109,2588.339844,4446.491699,1792.662109,22369.09766,11554.70703,5317.112793,1905.989746
