IntervalEnding,Coast,East,FarWest,North,NorthCentral,SouthCentral,Southern,West,SystemTotal,Model,InUseFlag,DSTFlag
2021-08-11 10:40:00,17498.400390625,2281.98999023437,4279.58984375,1597.41003417969,18186.30078125,8861.25,4487.27978515625,1567.2399902343802,58759.4609375,E,Y,N
2021-08-11 10:45:00,17621.5,2302.7099609375,4195.5498046875,1600.13000488281,18307.0,8886.0595703125,4484.14013671875,1601.97998046875,58999.0703125,E,Y,N
2021-08-11 10:45:00,17597.30078125,2296.580078125,4286.56005859375,1604.33996582031,18304.599609375,8911.009765625,4518.22998046875,1575.93005371094,59094.55078125,E,Y,N
2021-08-11 10:50:00,17720.400390625,2316.0,4201.7099609375,1607.8000488281302,18425.400390625,8935.33984375,4515.47998046875,1611.06005859375,59333.19140625,E,Y,N
2021-08-11 10:50:00,17695.19921875,2309.82006835937,4292.72021484375,1611.7399902343698,18421.19921875,8957.509765625,4549.31982421875,1585.0100097656302,59422.51953125,E,Y,N
2021-08-11 10:55:00,17818.80078125,2327.02001953125,4208.419921875,1615.39001464844,18544.5,8983.5595703125,4546.47998046875,1618.93005371094,59663.1015625,E,Y,N
2021-08-11 10:55:00,17792.5,2320.81005859375,4299.43017578125,1619.06005859375,18538.19921875,9003.150390625,4580.10009765625,1592.86999511719,59746.12109375,E,Y,N
2021-08-11 11:00:00,17891.69921875,2333.59008789063,4305.93017578125,1626.18994140625,18658.5,9056.58984375,4609.64990234375,1600.09997558594,60082.24609375,E,Y,N
2021-08-11 11:00:00,17919.099609375,2339.830078125,4214.91015625,1622.75,18667.5,9039.33984375,4576.259765625,1626.15002441406,60005.8359375,E,Y,N
2021-08-11 11:05:00,17992.80078125,2346.30004882812,4312.81005859375,1632.84997558594,18780.400390625,9116.599609375,4638.2001953125,1608.16003417969,60428.125,E,Y,N
2021-08-11 11:05:00,18005.599609375,2349.14990234375,4279.240234375,1638.7600097656302,18742.900390625,9221.330078125,4628.25,1578.9599609375,60444.1875,E,Y,N
2021-08-11 11:10:00,18092.19921875,2359.22998046875,4319.60009765625,1641.57995605469,18901.69921875,9172.650390625,4668.6298828125,1617.0,60772.58984375,E,Y,N
2021-08-11 11:10:00,18103.400390625,2357.18994140625,4286.97998046875,1645.9599609375,18868.80078125,9280.6396484375,4656.3798828125,1588.39001464844,60787.7421875,E,Y,N
2021-08-11 11:15:00,18198.599609375,2374.39990234375,4294.64990234375,1654.77001953125,18985.69921875,9329.23046875,4688.68017578125,1596.33996582031,61122.3671875,E,Y,N
2021-08-11 11:15:00,18188.5,2375.01000976563,4327.60986328125,1650.93005371094,19021.30078125,9220.66015625,4700.52001953125,1625.07995605469,61109.609375,E,Y,N
2021-08-11 11:20:00,18284.5,2392.34008789063,4336.9501953125,1659.61999511719,19142.5,9269.51953125,4732.33984375,1631.11999511719,61448.88671875,E,Y,N
2021-08-11 11:20:00,18293.599609375,2392.06005859375,4303.97998046875,1663.42004394531,19105.80078125,9378.7900390625,4720.47998046875,1602.0,61460.12890625,E,Y,N
2021-08-11 11:25:00,18380.400390625,2406.169921875,4346.72021484375,1667.61999511719,19265.599609375,9324.990234375,4763.0400390625,1635.63000488281,61790.16796875,E,Y,N
2021-08-11 11:25:00,18388.5,2405.75,4313.83984375,1671.64001464844,19227.69921875,9435.7099609375,4751.10986328125,1605.7399902343802,61799.98828125,E,Y,N
2021-08-11 11:30:00,18481.400390625,2418.7099609375,4322.58984375,1678.5100097656302,19349.900390625,9495.01953125,4781.7099609375,1612.02001953125,62139.859375,E,Y,N
2021-08-11 11:30:00,18474.30078125,2419.5,4355.35009765625,1674.56994628906,19388.900390625,9382.4501953125,4793.72021484375,1642.2399902343698,62131.02734375,E,Y,N
2021-08-11 11:35:00,18566.69921875,2436.1298828125,4363.14990234375,1680.9899902343802,19509.69921875,9435.41015625,4824.580078125,1649.9599609375,62466.6171875,E,Y,N
2021-08-11 11:35:00,18572.80078125,2435.14990234375,4330.43017578125,1684.42004394531,19469.599609375,9549.919921875,4812.47021484375,1619.81994628906,62474.609375,E,Y,N
2021-08-11 11:40:00,18663.400390625,2449.07006835938,4338.5400390625,1689.5100097656302,19587.19921875,9596.75,4843.85986328125,1627.64001464844,62795.96875,E,Y,N
2021-08-11 11:40:00,18658.30078125,2450.09008789063,4371.3798828125,1686.13000488281,19628.400390625,9482.3701171875,4856.0498046875,1657.7199707031302,62790.44140625,E,Y,N
2021-08-11 11:45:00,18752.900390625,2460.30004882812,4345.72998046875,1695.64001464844,19703.30078125,9642.8203125,4874.5400390625,1634.09997558594,63109.3359375,E,Y,N
2021-08-11 11:45:00,18748.69921875,2461.5,4378.68017578125,1692.33996582031,19745.69921875,9529.400390625,4886.7900390625,1664.5500488281302,63107.66015625,E,Y,N
2021-08-11 11:50:00,18839.0,2472.89990234375,4351.83984375,1702.09997558594,19819.0,9694.6201171875,4904.2001953125,1642.16003417969,63425.8203125,E,Y,N
