INTERVAL_ENDING,LZ_SOUTH_HOUSTON,LZ_WEST,LZ_NORTH
8/11/2021 3:50,2592.09,15269.51,1076.77
8/11/2021 3:55,2552.53,15181.47,1078.62
8/11/2021 4:00,2516.94,15068.96,1068.99
8/11/2021 4:05,2487.65,14987.53,1069.37
8/11/2021 4:10,2492.41,14983.94,1078.58
8/11/2021 4:15,2442.96,14945.77,1087.71
8/11/2021 4:20,2371.97,14922.26,1090.36
8/11/2021 4:25,2326.67,14868.99,1084.95
8/11/2021 4:30,2332.45,14913.93,1079.38
8/11/2021 4:35,2308.17,14862.51,1081.82
8/11/2021 4:40,2265.54,14738.51,1074.45
8/11/2021 4:45,2193.89,14589.03,1069.61
8/11/2021 4:50,2184.08,14579.69,1064.72
8/11/2021 4:55,2175.37,14574.67,1053.42
8/11/2021 5:00,2144.66,14446.72,1048.33
8/11/2021 5:05,2139.86,14398.41,1040.33
8/11/2021 5:10,2124.72,14384.61,1032.63
8/11/2021 5:15,2108.25,14349.56,1029
8/11/2021 5:20,2101.77,14290.77,1026.51
8/11/2021 5:25,2117.47,14234.52,1019.78
8/11/2021 5:30,2143.24,14209.03,1016.41
8/11/2021 5:35,2144.63,14155.86,1021.7
8/11/2021 5:40,2115.6,14063.01,1030.48
8/11/2021 5:45,2112.38,14142.91,1038.78
8/11/2021 5:50,2143.06,14156.35,1040.34
8/11/2021 5:55,2141.17,14022.72,1035.01
8/11/2021 6:00,2118.34,13923.39,1025.51
8/11/2021 6:05,2109.76,13826.87,1019.19
8/11/2021 6:10,2069.51,13779.39,1019.23
8/11/2021 6:15,2072.84,13770.39,1022.92
8/11/2021 6:20,2065.34,13706.74,1027.89
8/11/2021 6:25,2027.83,13681.45,1029.65
8/11/2021 6:30,2046.38,13730.64,1033.16
8/11/2021 6:35,2054.44,13662.63,1029.65
8/11/2021 6:40,2051.02,13597.98,1034.87
8/11/2021 6:45,2085.57,13582.56,1042.32
8/11/2021 6:50,2081.58,13474.13,1038.25
8/11/2021 6:55,2114.78,13421.66,1033.29
