IntervalEnding,Coast,East,FarWest,North,NorthCentral,SouthCentral,Southern,West,SystemTotal,Model,InUseFlag,DSTFlag
08/11/2021 10:40,17498.400390625,2281.98999023437,4279.58984375,1597.41003417969,18186.30078125,8861.25,4487.27978515625,1567.23999023438,58759.4609375,E,Y,N
08/11/2021 10:45,17597.30078125,2296.580078125,4286.56005859375,1604.33996582031,18304.599609375,8911.009765625,4518.22998046875,1575.93005371094,59094.55078125,E,Y,N
08/11/2021 10:45,17597.3671875,2291.24365234375,4285.06591796875,1630.26928710938,18258.111328125,8975.7392578125,4492.45458984375,1606.73388671875,59136.984375,A6,N,N
08/11/2021 10:50,17695.19921875,2309.82006835937,4292.72021484375,1611.73999023437,18421.19921875,8957.509765625,4549.31982421875,1585.01000976563,59422.51953125,E,Y,N
08/11/2021 10:50,17692.10546875,2305.78393554688,4292.3935546875,1640.12475585937,18367.677734375,9030.16796875,4519.8349609375,1619.19873046875,59467.2890625,A6,N,N
08/11/2021 10:55,17785.287109375,2320.30517578125,4299.89794921875,1649.76599121094,18476.6796875,9084.3837890625,4546.93115234375,1631.93127441406,59795.1796875,A6,N,N
08/11/2021 10:55,17792.5,2320.81005859375,4299.43017578125,1619.06005859375,18538.19921875,9003.150390625,4580.10009765625,1592.86999511719,59746.12109375,E,Y,N
08/11/2021 11:00,17891.69921875,2333.59008789063,4305.93017578125,1626.18994140625,18658.5,9056.58984375,4609.64990234375,1600.09997558594,60082.24609375,E,Y,N
08/11/2021 11:00,17876.908203125,2334.80712890625,4307.57861328125,1659.19299316406,18585.11328125,9138.38671875,4573.7431640625,1644.93151855469,60120.66015625,A6,N,N
08/11/2021 11:05,17992.80078125,2346.30004882812,4312.81005859375,1632.84997558594,18780.400390625,9116.599609375,4638.2001953125,1608.16003417969,60428.125,E,Y,N
08/11/2021 11:05,17966.970703125,2349.2900390625,4315.43603515625,1668.40576171875,18692.982421875,9192.17578125,4600.27099609375,1658.19921875,60443.73046875,A6,N,N
08/11/2021 11:10,18055.474609375,2363.75366210938,4323.4697265625,1677.404296875,18800.283203125,9245.7509765625,4626.5146484375,1671.73461914063,60764.38671875,A6,N,N
08/11/2021 11:10,18092.19921875,2359.22998046875,4319.60009765625,1641.57995605469,18901.69921875,9172.650390625,4668.6298828125,1617,60772.58984375,E,Y,N
08/11/2021 11:15,18142.419921875,2378.19799804688,4331.68017578125,1686.18859863281,18907.01953125,9299.11328125,4652.474609375,1685.53759765625,61082.6328125,A6,N,N
08/11/2021 11:15,18188.5,2375.01000976563,4327.60986328125,1650.93005371094,19021.30078125,9220.66015625,4700.52001953125,1625.07995605469,61109.609375,E,Y,N
08/11/2021 11:20,18227.8046875,2392.623046875,4340.0673828125,1694.75866699219,19013.1875,9352.2626953125,4678.150390625,1699.60815429687,61398.4609375,A6,N,N
08/11/2021 11:20,18284.5,2392.34008789063,4336.9501953125,1659.61999511719,19142.5,9269.51953125,4732.33984375,1631.11999511719,61448.88671875,E,Y,N
08/11/2021 11:25,18380.400390625,2406.169921875,4346.72021484375,1667.61999511719,19265.599609375,9324.990234375,4763.0400390625,1635.63000488281,61790.16796875,E,Y,N
08/11/2021 11:25,18311.6328125,2407.02905273438,4348.63037109375,1703.11450195313,19118.791015625,9405.1982421875,4703.5419921875,1713.94641113281,61711.88671875,A6,N,N
08/11/2021 11:30,18393.900390625,2421.416015625,4357.37060546875,1711.25622558594,19223.826171875,9457.9208984375,4728.6494140625,1728.55224609375,62022.890625,A6,N,N
08/11/2021 11:30,18474.30078125,2419.5,4355.35009765625,1674.56994628906,19388.900390625,9382.4501953125,4793.72021484375,1642.23999023437,62131.02734375,E,Y,N
08/11/2021 11:35,18566.69921875,2436.1298828125,4363.14990234375,1680.98999023438,19509.69921875,9435.41015625,4824.580078125,1649.9599609375,62466.6171875,E,Y,N
08/11/2021 11:35,18474.609375,2435.78369140625,4366.287109375,1719.18359375,19328.296875,9510.4296875,4753.47314453125,1743.42565917969,62331.48828125,A6,N,N
08/11/2021 11:40,18658.30078125,2450.09008789063,4371.3798828125,1686.13000488281,19628.400390625,9482.3701171875,4856.0498046875,1657.71997070313,62790.44140625,E,Y,N
08/11/2021 11:40,18553.759765625,2450.13208007813,4375.3798828125,1726.89672851563,19432.19921875,9562.7255859375,4778.01220703125,1758.56665039062,62637.671875,A6,N,N
08/11/2021 11:45,18631.3515625,2464.46118164063,4384.6494140625,1734.39575195313,19535.537109375,9614.8076171875,4802.267578125,1773.97534179687,62941.4453125,A6,N,N
08/11/2021 11:45,18748.69921875,2461.5,4378.68017578125,1692.33996582031,19745.69921875,9529.400390625,4886.7900390625,1664.55004882813,63107.66015625,E,Y,N
08/11/2021 11:50,18707.384765625,2478.77124023438,4394.09521484375,1741.68054199219,19638.306640625,9666.6767578125,4826.23876953125,1789.65161132813,63242.8046875,A6,N,N
08/11/2021 11:50,18835.599609375,2474.15991210937,4384.85009765625,1698.68994140625,19862.5,9581.509765625,4916.52978515625,1672.71997070313,63426.5546875,E,Y,N
08/11/2021 11:55,18781.859375,2493.06225585938,4403.7177734375,1748.7509765625,19740.509765625,9718.3330078125,4849.92578125,1805.59545898438,63541.75,A6,N,N
08/11/2021 11:55,18918.900390625,2487.18994140625,4390.10009765625,1703.68005371094,19978.19921875,9635.7900390625,4944.41015625,1680.06005859375,63738.328125,E,Y,N
08/11/2021 12:00,18998.19921875,2499.27001953125,4395.25,1706.91003417969,20090.900390625,9686.599609375,4969.47021484375,1687.11999511719,64033.72265625,E,Y,N
08/11/2021 12:00,18854.7734375,2507.33374023437,4413.5166015625,1755.60729980469,19842.1484375,9769.775390625,4873.3291015625,1821.80700683594,63838.29296875,A6,N,N
